Country_ID,Country,Monthly_Net,Annual_Net
CHE,Switzerland,4548,54576
ISL,Iceland,3221,38652
DNK,Denmark,3562,42744
NOR,Norway,3256,39072
FIN,Finland,2509,30108
NLD,Netherlands,2240,26880
SWE,Sweden,2822,33864
AUT,Austria,2740,32880
LUX,Luxembourg,3573,42876
IRL,Ireland,2748,32976
BEL,Belgium,2262,27144
DEU,Germany,2531,30372
CZE,Czech Republic,1106,13272
ESP,Spain,1784,21408
MLT,Malta,1021,12252
UZB,Uzbekistan,,
SVK,Slovakia,851,10212
ITA,Italy,1729,20748
MDA,Moldova,316,3792
SVN,Slovenia,1328,15936
LTU,Lithuania,967,11604
BLR,Belarus,261,3132
POL,Poland,880,10560
HRV,Croatia,942,11304
RUS,Russia,449,5388
CYP,Cyprus,1658,19896
XXK,Kosovo,420,5040
TKM,Turkmenistan,,
EST,Estonia,1214,14568
KG,Kyrgzstan,,
AZE,Azerbaijan,,
MNE,Montenegro,527,6324
ROU,Romania,743,8916
SRB,Serbia,562,6744
PRT,Portugal,1004,12048
LVA,Latvia,915,10980
MKD,Macedonia,436,5232
ALB,Albania,356,4272
BIH,Bosnia and Herzegovina,492,5904
GRC,Greece,1116,13392
HUN,Hungary,755,9060
TJK,Tajikistan,,
UKR,Ukraine,337,4044
ARM,Armenia,,
GE,Georgia,,
BGR,Bulgaria,554,6648
